customer_id,credit_lines_outstanding,loan_amt_outstanding,total_debt_outstanding,income,years_employed,fico_score,default
1001,7,48063,44668,84785,27,619,0
1002,4,31678,15673,49518,27,816,0
1003,8,11682,78666,68909,9,673,1
1004,5,9519,90204,33351,10,801,1
1005,7,32480,82758,84624,20,783,1
1006,3,20694,67429,68330,23,717,0
1007,7,4300,25669,30282,9,786,0
1008,8,7722,36068,99866,27,660,0
1009,5,40986,90789,36778,7,797,1
1010,4,25160,11435,39264,1,581,0
1011,8,21059,96088,74675,22,757,0
1012,8,36822,54249,20075,7,725,1
1013,3,14575,39384,90948,15,803,0
1014,6,8970,83929,63454,26,641,0
1015,5,35911,78153,43365,21,818,0
1016,2,22591,77388,87766,4,774,0
1017,8,32821,33401,63200,26,745,0
1018,6,10503,73831,26002,24,801,1
1019,2,48917,36084,28947,28,640,0
1020,5,19922,57826,94222,2,708,1
1021,1,13175,38451,109840,11,752,0
1022,6,42124,9227,93610,12,735,0
1023,9,22389,33910,67142,12,689,1
1024,1,48838,38041,71307,9,848,1
1025,3,1822,90920,19493,3,653,1
1026,7,18327,67681,65085,8,786,0
1027,4,48057,83571,49228,21,783,1
1028,9,7150,67481,94676,23,740,1
1029,3,5425,70576,66875,22,607,0
1030,5,17032,66174,46655,26,836,1
1031,3,3198,28160,58472,1,744,0
1032,7,21079,19633,64437,18,642,1
1033,5,37220,96880,64416,0,601,1
1034,9,42874,19014,74711,24,649,0
1035,7,14859,82532,21816,28,675,1
1036,2,32419,51104,92175,6,742,1
1037,4,9705,43621,79307,16,658,0
1038,9,43880,79231,61733,2,584,1
1039,2,24236,70388,110028,19,699,0
1040,9,23419,18014,26240,19,757,0
1041,5,20978,94578,113234,20,755,0
1042,2,38609,35755,107493,29,796,0
1043,4,16358,42390,113344,2,635,0
1044,7,35177,25711,86363,2,766,1
1045,8,30378,93658,47762,16,811,1
1046,3,38334,59993,23259,6,834,1
1047,1,12382,76696,65139,26,683,0
1048,4,15596,29213,29849,25,656,0
1049,2,34572,59784,96768,13,809,0
1050,8,14221,9421,104709,16,837,0
1051,4,2279,88936,69869,17,843,1
1052,2,46960,19727,78095,12,761,1
1053,6,8083,6358,85910,19,835,1
1054,6,44861,67108,101710,28,617,1
1055,4,18771,96018,38567,19,755,1
1056,6,30975,34117,50292,20,606,0
1057,2,46648,90700,89813,26,719,1
1058,2,49285,33910,112136,17,670,0
1059,4,20063,57754,66631,3,640,0
1060,8,3106,64438,24885,0,742,1
1061,7,25557,31371,74659,17,722,1
1062,9,49854,53501,69306,0,832,1
1063,8,21607,62946,81314,25,848,1
